	certificateNumber	postcode	postTown	council	constituency	currentEnergyEfficiencyBand	registrationDate	uprn	schemaType	FullAddress
0	0063-3230-1116-4124-9460	SL0 9QA	IVER	Buckinghamshire	Beaconsfield	C	2026-06-09	10003236063.0	CEPC-8.0.0	IVER VILLAGE JUNIOR SCHOOL HIGH STREET
1	1027-0961-1118-8407-7643	SL7 2PJ	MARLOW	Buckinghamshire	Beaconsfield	C	2026-06-08	100081324590.0	CEPC-8.0.0	St Peters Catholic Primary School Prospect Road
2	6310-7116-2392-9925-2806	SL2 3AE	SLOUGH	Buckinghamshire	Beaconsfield	F	2026-05-27	10003425332.0	CEPC-8.0.0	Arbour Vale School Farnham Road
3	0627-9550-5617-4403-1623	SL2 4QP	SLOUGH	Buckinghamshire	Beaconsfield	D	2026-05-26		CEPC-8.0.0	Pioneer Secondary Academy Hollybush Hill Stoke Poges
4	4182-5816-8772-7195-5702	HP9 1RJ	Beaconsfield, Buckinghamshire	Buckinghamshire	Beaconsfield	B	2026-05-19	100081187472.0	CEPC-8.0.0	Beacon Sports Centre Hotspur Way Hotspur
5	2138-8016-6182-5624-5806	SL1 7DE	SLOUGH	Buckinghamshire	Beaconsfield	C	2026-05-13	100081264905.0	CEPC-8.0.0	St. Peters C of E Combined School Minniecroft Road Burnham
6	6320-5616-0632-9505-3006	HP10 9LA	FLACKWELL HEATH	Buckinghamshire	Beaconsfield	C	2026-05-07	100081089785.0	CEPC-8.0.0	Juniper Hill School Churchill Close
7	2070-1884-2963-9706-7125	HP10 0QH	HIGH WYCOMBE	Buckinghamshire	Beaconsfield	C	2026-04-23	100081166826.0	CEPC-8.0.0	BLOCK 1 St. Pauls C of E Combined School Stratford Drive Wooburn Green
8	0253-3298-9107-7253-7990	SL8 5BE	BOURNE END	Buckinghamshire	Beaconsfield	D	2026-04-20	200000810341.0	CEPC-8.0.0	Westfield School Highfield Road
9	0736-8116-5922-8994-9106	SL2 3TZ	SLOUGH	Buckinghamshire	Beaconsfield	E	2026-04-15	100081266010.0	CEPC-8.0.0	Farnham Common Junior School Sherbourne Walk Farnham Common
10	2388-1704-6365-2700-1505	SL1 7DE	Slough	Buckinghamshire	Beaconsfield	C	2026-04-09	100081264904.0	CEPC-8.0.0	Burnham Health Centre Minniecroft Road Burnham
